"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5JMZUEBC","conferencePaper","2013","Hodges, Steve; Scott, James; Sentance, Sue; Miller, Colin; Villar, Nicolas; Schwiderski-Grosche, Scarlet; Hammil, Kerry; Johnston, Steven",".NET Gadgeteer: A New Platform for K-12 Computer Science Education","Proceeding of the 44th ACM Technical Symposium on Computer Science Education","978-1-4503-1868-6","","10.1145/2445196.2445315","http://doi.acm.org/10.1145/2445196.2445315","","2013","2018-02-06 13:50:17","2018-02-24 19:25:01","","391–396","","","","","","","SIGCSE '13","","","","ACM","New York, NY, USA","","","","","","","","","","","","K-12 computer science education; Microsoft .NET gadgeteer; modular hardware; prototyping platform; tactile learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVR2NURS","conferencePaper","2015","Fields, Deborah A.; Pantic, Katarina; Kafai, Yasmin B.","&Ldquo;I Have a Tutorial for This&Rdquo;: The Language of Online Peer Support in the Scratch Programming Community","Proceedings of the 14th International Conference on Interaction Design and Children","978-1-4503-3590-4","","10.1145/2771839.2771863","http://doi.acm.org/10.1145/2771839.2771863","","2015","2018-02-06 13:52:07","2018-02-24 19:25:03","","229–238","","","","","","","IDC '15","","","","ACM","New York, NY, USA","","","","","","","","","","","","collaborative learning; computer science education; do-it-yourself media; social networking forums; social networking sites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RGBEHGH","conferencePaper","2012","Drachsler, Hendrik; Dietze, Stefan; Greller, Wolfgang; D'Aquin, Mathieu; Jovanovic, Jelena; Pardo, Abelardo; Reinhardt, Wolfgang; Verbert, Katrien","1st International Workshop on Learning Analytics and Linked Data","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330607","http://doi.acm.org/10.1145/2330601.2330607","","2012","2018-02-06 13:49:52","2018-02-24 19:25:04","","9–10","","","","","","","LAK '12","","","","ACM","New York, NY, USA","","","","","","","","","","","","educational datasets; ethics; learning analytics; linked data; privacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGKJ8ZFV","bookSection","2011","McGuinness, Claire","4 - Confidence-zappers and how to handle them","Becoming Confident Teachers","978-1-84334-629-6","","","https://www.sciencedirect.com/science/article/pii/B9781843346296500042","Abstract: This chapter highlights a number of challenging situations that can cause teaching librarians to doubt their self-efficacy and drain their confidence. Each challenge is described and analysed and solutions are suggested to help librarians deal with the difficulties they may experience, both in their day-to-day teaching work and from an overall strategic or organisational perspective. The challenges regularly faced by teaching librarians include poor student attendance at elective sessions, trying to facilitate active learning with large classes, low student motivation and poor engagement, trying to find effective ways of using a {VLE} to support learning activities, dealing with adult learners, and trying to create meaningful learning experiences within ‘one-shot’ class sessions.","2011","2018-02-06 16:58:06","2018-02-21 11:59:30","","121 - 147","","","","","","","Chandos Information Professional Series","","","","Chandos Publishing","","","","","","","","","DOI: 10.1016/B978-1-84334-629-6.50004-2","","","","active learning; adult learners; confidence challenge; one-shot classes; student motivation; virtual learning environment","","McGuinness, Claire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZK9R73G","conferencePaper","2012","Chen, Yunfei; Zhang, Lanbo; Michelony, Aaron; Zhang, Yi","4Is of Social Bully Filtering: Identity, Inference, Influence, and Intervention","Proceedings of the 21st ACM International Conference on Information and Knowledge Management","978-1-4503-1156-4","","10.1145/2396761.2398723","http://doi.acm.org/10.1145/2396761.2398723","","2012","2018-02-06 13:52:32","2018-02-06 13:52:32","","2677–2679","","","","","","","CIKM '12","","","","ACM","New York, NY, USA","","","","","","","","","","","","bully; detecting; twitter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DED5N83Q","bookSection","2017","Piovesan, A.; Griffor, E.","7 - Reasoning About Safety and Security: The Logic of Assurance","Handbook of System Safety and Security","978-0-12-803773-7","","","https://www.sciencedirect.com/science/article/pii/B9780128037737000073","Abstract A common definition of assurance is certainty about something. Assurance has synonyms like guarantee, certainty, certitude, surety, confidence, expectation and antonyms like doubt and uncertainty. Since many of the systems that we design, build, and maintain have safety-critical or security-critical functions or both, we strive to provide assurance about these systems’ safety and security and perhaps also assurance of other characteristics. This chapter will outline the structure of reasoning about assurance of systems. Assurance is tasked with addressing both individual concerns and composite or compound concerns. Assurance demands that we analyze a system in order to identify risks and take steps in design and design process to mitigate or render “acceptable or reasonable” those risks. A case for the adequate assurance of a system, or an assurance case, consists of several distinct elements. It consists of requirements (asserting that the system has a set of assurance properties), test, design elements (with test results), and finally argumentation/reasoning about those requirements, tests, design elements, and test results. Aside from calling out this evidence and design artefacts, this argumentation may appeal to standards, regulations, and even expert opinion to justify the conclusion that this evidence is sufficient to assure us that the residual risk is “reasonable.” The key challenge to understanding the safety and security risks involved in designing, realizing, and deploying cyber-physical systems (CPS) is to understand and evaluate the argument for the acceptability or reasonableness of those risks. Safety has to do with the potential harm that can be caused by the system’s behaviors, while security has to do with the adverse impact that can occur as a result of unauthorized access or modification of the system. The behaviors of a system refer to how the system performs in the variety of operational settings. This is partially determined by the system design and partially by the everchanging environment in which the system operates. Certain intended behaviors are stated or described in the design and others are discovered in the course of conceiving of the system (identifying the requirements), constructing the system, and testing to determine whether the requirements are met (realization, including verification) and, finally, running the system in what we understand to be its operating environment (validation). An assurance case reasons about all of these activities, and their outcomes, and should provide us with a level of confidence that the system will perform as intended. An approach that emphasizes the work products of the design, verification, and validation activities forces us, in evaluating a system, to reconstruct the argument and even then there is currently no “gold standard” or “true north” against which to assess the reasoning used. Standards frequently strive to express or proscribe on the kind of reasoning and the consensus associated with standard is itself compelling evidence that those proscriptions are sound. Standards frequently describe conceptualization, realization, and assurance activities that need be performed but only implicitly in the dictates of the standards and not through explicit descriptions of the argument itself. In this chapter we will review an approach to safety or security assurance that clearly distinguishes the nature of assurance reasoning. We do this by means of an example of a safety concern, functional, or software safety for automotive systems, and with reference to a specific standard, {ISO} 26262. Though this discussion focuses on an aspect of safety, much of the analysis of assurance reasoning is general and common to the assurance of any system with respect to a variety of other concerns. The extension of these methods to general {CPS} or the Internet of Things (IoT) will be taken up in future publications. In the annex we provide a graphic representation of the general safety case strategy for electronic throttle control.","2017","2018-02-06 16:58:55","2018-02-06 16:58:55","","113 - 129","","","","","","","","","","","Syngress","Boston","","","","","","","","DOI: 10.1016/B978-0-12-803773-7.00007-3","","","","logic of judgements","","Griffor, Edward","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W78ZTQ2N","conferencePaper","2012","Unnikrishnan, Priya; Barton, Kit; Chen, Tom","7th Workshop on Challenges for Parallel Computing","Proceedings of the 2012 Conference of the Center for Advanced Studies on Collaborative Research","","","","http://dl.acm.org/citation.cfm?id=2399776.2399808","","2012","2018-02-06 13:52:39","2018-02-06 13:52:39","","251–252","","","","","","","CASCON '12","","","","IBM Corp.","Riverton, NJ, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGEXK3JN","conferencePaper","2013","Unnikrishnan, Priya; Barton, Kit; Bradbury, Jeremy; Azimi, Reza","8th Workshop on Challenges for Parallel Computing","Proceedings of the 2013 Conference of the Center for Advanced Studies on Collaborative Research","","","","http://dl.acm.org/citation.cfm?id=2555523.2555570","","2013","2018-02-06 13:52:39","2018-02-06 13:52:39","","363–364","","","","","","","CASCON '13","","","","IBM Corp.","Riverton, NJ, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M487DDNR","conferencePaper","2015","Worsley, Marcelo; Chiluiza, Katherine; Grafsgaard, Joseph F.; Ochoa, Xavier","2015 Multimodal Learning and Analytics Grand Challenge","Proceedings of the 2015 ACM on International Conference on Multimodal Interaction","978-1-4503-3912-4","","10.1145/2818346.2829995","http://doi.acm.org/10.1145/2818346.2829995","","2015","2018-02-06 13:50:45","2018-02-21 13:53:04","","525–529","","","","","","","ICMI '15","","","","ACM","New York, NY, USA","","","","","","","","","","","","design challenge; human computer interaction; learning environments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RG8ZTK22","conferencePaper","2011","Graf, Sabine; Ives, Cindy; Rahman, Nazim; Ferri, Arnold","AAT: A Tool for Accessing and Analysing Students' Behaviour Data in Learning Systems","Proceedings of the 1st International Conference on Learning Analytics and Knowledge","978-1-4503-0944-8","","10.1145/2090116.2090145","http://doi.acm.org/10.1145/2090116.2090145","","2011","2018-02-06 13:50:01","2018-02-21 13:53:24","","174–179","","","","","","","LAK '11","","","","ACM","New York, NY, USA","","","","","","","","","","","","academic analytics; data extraction and analysis; learning systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
